RandomState,Accuracy
0,0.7369388909845341
1,0.7328838174273858
2,0.734156921916258
3,0.736043002640513
4,0.730384760467748
5,0.733779705771407
6,0.7355243304413429
7,0.7347698981516408
8,0.7368445869483213
9,0.7278857035081101
10,0.7296774801961524
11,0.7368917389664278
12,0.736043002640513
13,0.736420218785364
14,0.7370803470388533
15,0.733402489626556
16,0.7367031308940023
17,0.7314692568841946
18,0.7325066012825349
19,0.7312806488117691
20,0.7332138815541305
21,0.7358543945680875
22,0.7356186344775556
23,0.7317521689928329
24,0.7345812900792154
25,0.7299603923047906
26,0.7316578649566201
27,0.7310920407393436
28,0.733025273481705
29,0.7293474160694078
30,0.7283572236891739
31,0.7305262165220672
32,0.7280271595624292
33,0.7354300264051301
34,0.7330724254998114
35,0.7392493398717465
36,0.726612599019238
37,0.7313749528479819
38,0.7353357223689174
39,0.7354300264051301
40,0.7339211618257261
41,0.7308562806488118
42,0.7334967936627688
43,0.7295360241418333
44,0.7268955111278763
45,0.7281686156167484
46,0.7313278008298755
47,0.7361373066767257
48,0.7295360241418333
49,0.7323179932101094
50,0.7324594492644285
51,0.73491135420596
52,0.729111655978876
53,0.7323179932101094
54,0.7309034326669182
55,0.7316578649566201
56,0.7317521689928329
57,0.7342512259524707
58,0.7316107129385138
59,0.7293945680875141
60,0.7310920407393436
61,0.7324122972463222
62,0.7335910976989816
63,0.7377404752923425
64,0.7329781214635986
65,0.7342040739343644
66,0.7301490003772162
67,0.7279328555262166
68,0.7324122972463222
69,0.7287815918521313
70,0.7309034326669182
71,0.7350528102602791
72,0.7307148245944927
73,0.7344869860430027
74,0.7359486986043002
75,0.7359486986043002
76,0.7313278008298755
77,0.7332610335722369
78,0.7307148245944927
79,0.7338740098076197
80,0.732270841192003
81,0.7302904564315352
82,0.7285929837797057
83,0.7350528102602791
84,0.7273198792908336
85,0.734156921916258
86,0.728498679743493
87,0.7337325537533006
88,0.7327423613730668
89,0.7340154658619389
90,0.7336382497170879
91,0.7333553376084496
92,0.7309505846850245
93,0.7303376084496417
94,0.7331667295360241
95,0.7387778196906828
96,0.7372689551112788
97,0.7313278008298755
98,0.7342040739343644
99,0.7340154658619389
100,0.7305262165220672
101,0.7311863447755564
